Great Britain, Region, Europe
European Union countries, Region,Europe
Black Sea, Body of Water,Europe
"Aden, Gulf of", Body of Water, Asia
South Pacific Ocean, Body of Water,
Northern Indian Ocean, Body of Water,
Arctic Ocean, Body of Water,
Baltic Sea, Body of Water,Europe
"Mexico, Gulf of", Body of Water, North America
"Guinea, Gulf of", Body of Water, Africa
"Nyasa, Lake", Body of Water, Africa
Singapore Strait, Body of Water, Asia
Malacca Strait, Body of Water, Asia
"Sound, The (Denmark and Sweden)", Body of Water,Europe
"Suez, Gulf of", Body of Water, Africa
Panama Canal (Panama), Body of Water, North America
Red Sea, Body of Water,
Mediterranean Sea, Body of Water,
Persian Gulf, Body of Water, Asia
"Victoria, Lake", Body of Water, Africa
Suez Canal (Egypt), Body of Water, Africa
Amazon Basin, Body of Water, South America
Caspian Sea, Body of Water,
"Malawi, Lake", Body of Water, Africa
Southeast Asia, Region, Asia
Hokkaido, Region, Asia
Arctic regions, Region,
"Asia, East", Region, Asia
South Asia, Region, Asia
Alaska, Region, North America
"Africa, Central", Region, Africa
Paraguay  Inland waterways, Region, South America
Central America, Region, North America
Pacific coast (South America), Region, South America
"Europe, Eastern", Region,Europe
"Africa, East", Region, Africa
East Asia, Region, Asia
"Africa, Southern", Region, Africa
Caribbean area, Region, North America
Europe, Region,Europe
Baltic states, Region,Europe
Middle East, Region, Asia
Zanzibar, Region, Africa
"Africa, West", Region, Africa
"Africa, French-speaking West", Region, Africa
"Asia, Southeastern", Region, Asia
Developing countries, Region,
Korea, Region, Asia
Macao, Region, Asia
"Micronesia, Federated States of", Region,
"Hong Kong, China", Region, Asia
Occupied Palestinian Territories, Region, Asia
Gulf of Guinea,Body Of Water, Africa
"Suez, Gulf of", Body of Water, Asia
Galapagos Islands, Region, South America
"Africa, French-speaking west", Region, Africa
Eastern Central Atlantic, Body of Water,
